date,INDPRO,RECESSION
10/01/1990,62.4973,1
11/01/1990,61.7175,1
12/01/1990,61.2885,1
01/01/1991,61.0842,1
02/01/1991,60.6387,1
03/01/1991,60.2973,1
04/01/1991,60.4524,0
05/01/1991,61.0587,0
06/01/1991,61.5514,0
07/01/1991,61.7201,0
08/01/1991,61.7289,0
09/01/1991,62.2369,0
10/01/1991,62.1718,0
11/01/1991,62.0894,0
12/01/1991,61.806,0
01/01/1992,61.4823,0
02/01/1992,61.9192,0
03/01/1992,62.4403,0
04/01/1992,62.9199,0
05/01/1992,63.1268,0
06/01/1992,63.1624,0
07/01/1992,63.7348,0
08/01/1992,63.3802,0
09/01/1992,63.5834,0
10/01/1992,64.0178,0
11/01/1992,64.2628,0
12/01/1992,64.3599,0
01/01/1993,64.6135,0
02/01/1993,64.9262,0
03/01/1993,64.8627,0
04/01/1993,65.0423,0
05/01/1993,64.8006,0
06/01/1993,64.9476,0
07/01/1993,65.1142,0
08/01/1993,65.0421,0
09/01/1993,65.3749,0
10/01/1993,65.863,0
11/01/1993,66.1696,0
12/01/1993,66.5531,0
01/01/1994,66.7591,0
02/01/1994,66.8019,0
03/01/1994,67.4704,0
04/01/1994,67.8707,0
05/01/1994,68.187,0
06/01/1994,68.645,0
07/01/1994,68.7317,0
08/01/1994,69.1882,0
09/01/1994,69.3935,0
10/01/1994,69.9576,0
11/01/1994,70.4288,0
12/01/1994,71.1273,0
01/01/1995,71.2635,0
02/01/1995,71.1758,0
03/01/1995,71.2796,0
04/01/1995,71.1538,0
05/01/1995,71.4997,0
06/01/1995,71.7327,0
07/01/1995,71.4334,0
08/01/1995,72.3723,0
09/01/1995,72.6543,0
10/01/1995,72.5336,0
11/01/1995,72.717,0
12/01/1995,72.9638,0
01/01/1996,72.5712,0
02/01/1996,73.6207,0
03/01/1996,73.5141,0
04/01/1996,74.2491,0
05/01/1996,74.8142,0
06/01/1996,75.3726,0
07/01/1996,75.3738,0
08/01/1996,75.7557,0
09/01/1996,76.2302,0
10/01/1996,76.2157,0
11/01/1996,76.8973,0
12/01/1996,77.3772,0
01/01/1997,77.5135,0
02/01/1997,78.4255,0
03/01/1997,78.9197,0
04/01/1997,78.9848,0
05/01/1997,79.4296,0
06/01/1997,79.7971,0
07/01/1997,80.4666,0
08/01/1997,81.2825,0
09/01/1997,82.0327,0
10/01/1997,82.7656,0
11/01/1997,83.427,0
12/01/1997,83.784,0
01/01/1998,84.1564,0
02/01/1998,84.3066,0
03/01/1998,84.342,0
04/01/1998,84.6339,0
05/01/1998,85.1867,0
06/01/1998,84.6809,0
07/01/1998,84.3445,0
08/01/1998,86.0816,0
09/01/1998,86.0023,0
10/01/1998,86.591,0
11/01/1998,86.5115,0
12/01/1998,86.8615,0
01/01/1999,87.2205,0
02/01/1999,87.726,0
03/01/1999,87.9125,0
04/01/1999,88.1082,0
05/01/1999,88.6483,0
06/01/1999,88.5903,0
07/01/1999,89.1098,0
08/01/1999,89.5007,0
09/01/1999,89.1304,0
10/01/1999,90.2709,0
11/01/1999,90.7528,0
12/01/1999,91.4784,0
01/01/2000,91.4092,0
02/01/2000,91.7245,0
03/01/2000,92.083,0
04/01/2000,92.6659,0
05/01/2000,92.9347,0
06/01/2000,93.0018,0
07/01/2000,92.8373,0
08/01/2000,92.591,0
09/01/2000,92.9827,0
10/01/2000,92.64,0
11/01/2000,92.6604,0
12/01/2000,92.3457,0
01/01/2001,91.8908,0
02/01/2001,91.2851,0
03/01/2001,91.0585,0
04/01/2001,90.7384,1
05/01/2001,90.2607,1
06/01/2001,89.7811,1
07/01/2001,89.2352,1
08/01/2001,89.157,1
09/01/2001,88.6749,1
10/01/2001,88.4051,1
11/01/2001,87.886,1
12/01/2001,87.8518,0
01/01/2002,88.4634,0
02/01/2002,88.4578,0
03/01/2002,89.1265,0
04/01/2002,89.5507,0
05/01/2002,89.9348,0
06/01/2002,90.6736,0
07/01/2002,90.6436,0
